week,average,var,std_dev
2000-03-11 00:00:00 UTC,22.708333333333332,209.5199275362319,14.47480319507771
2000-03-12 00:00:00 UTC,35.166666666666664,299.10144927536231,17.294549698542667
2000-03-13 00:00:00 UTC,42.458333333333336,282.78079710144937,16.816087449268611
2000-03-14 00:00:00 UTC,44.708333333333336,299.78079710144937,17.314179076740814
2000-03-15 00:00:00 UTC,38.416666666666664,509.47101449275374,22.571464606727535
2000-03-16 00:00:00 UTC,38.583333333333336,453.90579710144914,21.30506505743292
2000-03-17 00:00:00 UTC,39.375,414.50543478260869,20.359406542986676
2000-03-18 00:00:00 UTC,31.125,434.54891304347831,20.845836827613287
2000-03-19 00:00:00 UTC,42.25,931.06521739130426,30.5133612929042
2000-03-20 00:00:00 UTC,43.291666666666664,560.65036231884051,23.678056557049619
